"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Match";"Match ID";"Date";"Competition";"Competition ID";"Season";"Season ID";"Competition Edition ID";"Position";"Position Group";"Minutes";"Physical Check Passed";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"Time to HSR";"Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"Time to Sprint";"Time to Sprint post-COD";"Change of Direction Count";"Time to 505 around 90";"Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Dodi Lukébakio";"D. Lukébakio";"2803";"1997-09-24";"Sevilla FC";"266";"FC Barcelona v Sevilla FC";"1803069";"2024-10-20";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RW";"Wide Attacker";"97.73";"True";"9706.0";"99.31";"1098.0";"514.0";"60.0";"288.0";"13.0";"802.0";"73.0";"31.1";"99.0";"12.0";"80.0";"27.0";"9.0";"0.63";"0.67";"4.0";"1.12";"1.16";"54.0";"2.38";"2.6";"8937.99";"99.31";"1011.12";"473.33";"55.25";"265.21";"11.97";"738.54";"67.22";"91.17";"11.05";"73.67";"24.86";"8.29";"3.68";"49.73"
"Dodi Lukébakio";"D. Lukébakio";"2803";"1997-09-24";"Sevilla FC";"266";"Atlético Madrid v Sevilla FC";"1902526";"2024-12-08";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RW";"Wide Attacker";"95.78";"True";"10504.0";"109.66";"1500.0";"544.0";"54.0";"151.0";"9.0";"695.0";"63.0";"31.0";"123.0";"11.0";"98.0";"27.0";"8.0";"0.65";"0.65";"2.0";"1.11";"1.11";"44.0";"2.14";"2.54";"9869.78";"109.66";"1409.43";"511.15";"50.74";"141.88";"8.46";"653.04";"59.2";"115.57";"10.34";"92.08";"25.37";"7.52";"1.88";"41.34"
"Dodi Lukébakio";"D. Lukébakio";"2803";"1997-09-24";"Sevilla FC";"266";"Real Madrid CF v Sevilla FC";"1927275";"2024-12-22";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RW";"Wide Attacker";"97.32";"True";"9517.0";"97.79";"965.0";"452.0";"45.0";"183.0";"7.0";"635.0";"52.0";"32.8";"102.0";"7.0";"82.0";"19.0";"5.0";"0.6";"0.79";"2.0";"1.3";"1.53";"40.0";"2.06";"2.93";"8801.47";"97.79";"892.45";"418.02";"41.62";"169.24";"6.47";"587.26";"48.09";"94.33";"6.47";"75.83";"17.57";"4.62";"1.85";"36.99"
"Dodi Lukébakio";"D. Lukébakio";"2803";"1997-09-24";"Sevilla FC";"266";"Sevilla FC v FC Barcelona";"2002584";"2025-02-09";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RW";"Wide Attacker";"100.5";"True";"9815.0";"97.66";"1186.0";"495.0";"51.0";"196.0";"9.0";"691.0";"60.0";"30.4";"98.0";"12.0";"82.0";"27.0";"7.0";"0.68";"0.73";"5.0";"1.17";"1.17";"38.0";"2.4";"null";"8789.55";"97.66";"1062.09";"443.28";"45.67";"175.52";"8.06";"618.81";"53.73";"87.76";"10.75";"73.43";"24.18";"6.27";"4.48";"34.03"
"Dodi Lukébakio";"D. Lukébakio";"2803";"1997-09-24";"Sevilla FC";"266";"Sevilla FC v Atlético Madrid";"2010398";"2025-04-06";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RF";"Wide Attacker";"103.62";"True";"10595.0";"102.25";"1358.0";"566.0";"60.0";"216.0";"11.0";"782.0";"71.0";"29.3";"127.0";"8.0";"88.0";"27.0";"7.0";"0.83";"null";"0.0";"null";"null";"40.0";"1.82";"3.67";"9202.67";"102.25";"1179.54";"491.62";"52.12";"187.61";"9.55";"679.23";"61.67";"110.31";"6.95";"76.44";"23.45";"6.08";"0.0";"34.74"
"Nemanja Gudelj";"N. Gudelj";"7909";"1991-11-16";"Sevilla FC";"266";"FC Barcelona v Sevilla FC";"1803069";"2024-10-20";"ESP - LaLiga";"4";"2024/2025";"95";"900";"DM";"Midfield";"97.73";"True";"11779.0";"120.52";"1760.0";"479.0";"48.0";"139.0";"7.0";"618.0";"55.0";"28.4";"107.0";"3.0";"103.0";"10.0";"2.0";"0.86";"null";"0.0";"null";"null";"39.0";"3.27";"2.73";"10846.96";"120.52";"1620.74";"441.1";"44.2";"128.0";"6.45";"569.1";"50.65";"98.53";"2.76";"94.85";"9.21";"1.84";"0.0";"35.91"
"Nemanja Gudelj";"N. Gudelj";"7909";"1991-11-16";"Sevilla FC";"266";"Atlético Madrid v Sevilla FC";"1902526";"2024-12-08";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LCB";"Central Defender";"103.15";"True";"11629.0";"112.74";"1410.0";"431.0";"44.0";"168.0";"8.0";"599.0";"52.0";"29.6";"112.0";"5.0";"86.0";"13.0";"4.0";"0.69";"null";"2.0";"1.56";"null";"39.0";"2.8";"3.02";"10146.49";"112.74";"1230.25";"376.05";"38.39";"146.58";"6.98";"522.64";"45.37";"97.72";"4.36";"75.04";"11.34";"3.49";"1.75";"34.03"
"Nemanja Gudelj";"N. Gudelj";"7909";"1991-11-16";"Sevilla FC";"266";"Real Madrid CF v Sevilla FC";"1927275";"2024-12-22";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LCB";"Central Defender";"97.32";"True";"10452.0";"107.4";"1178.0";"442.0";"48.0";"271.0";"13.0";"713.0";"61.0";"29.8";"100.0";"4.0";"88.0";"9.0";"3.0";"0.81";"null";"2.0";"1.51";"null";"28.0";"2.16";"2.87";"9666.18";"107.4";"1089.43";"408.77";"44.39";"250.63";"12.02";"659.39";"56.41";"92.48";"3.7";"81.38";"8.32";"2.77";"1.85";"25.89"
"Nemanja Gudelj";"N. Gudelj";"7909";"1991-11-16";"Sevilla FC";"266";"Sevilla FC v FC Barcelona";"2002584";"2025-02-09";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RDM";"Midfield";"79.53";"True";"9295.0";"116.87";"1412.0";"401.0";"34.0";"46.0";"3.0";"447.0";"37.0";"27.8";"91.0";"3.0";"78.0";"10.0";"0.0";"null";"null";"0.0";"null";"null";"28.0";"2.6";"3.88";"10518.23";"116.87";"1597.82";"453.77";"38.47";"52.05";"3.39";"505.83";"41.87";"102.98";"3.39";"88.26";"11.32";"0.0";"0.0";"31.68"
"Nemanja Gudelj";"N. Gudelj";"7909";"1991-11-16";"Sevilla FC";"266";"Sevilla FC v Real Madrid CF";"2017683";"2025-05-18";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LM";"Midfield";"97.08";"True";"9161.0";"94.36";"851.0";"311.0";"33.0";"120.0";"6.0";"431.0";"39.0";"30.1";"96.0";"5.0";"78.0";"13.0";"2.0";"0.99";"null";"0.0";"null";"null";"20.0";"2.63";"null";"8492.6";"94.36";"788.91";"288.31";"30.59";"111.24";"5.56";"399.55";"36.15";"89.0";"4.64";"72.31";"12.05";"1.85";"0.0";"18.54"
"Saúl Ñíguez Esclapez";"Saúl Ñíguez";"9585";"1994-11-21";"Sevilla FC";"266";"Sevilla FC v FC Barcelona";"2002584";"2025-02-09";"ESP - LaLiga";"4";"2024/2025";"95";"900";"AM";"Midfield";"79.53";"True";"9336.0";"117.38";"1628.0";"579.0";"44.0";"82.0";"5.0";"661.0";"49.0";"26.7";"101.0";"3.0";"84.0";"6.0";"3.0";"0.82";"null";"2.0";"1.62";"null";"45.0";"2.33";"3.09";"10564.63";"117.38";"1842.25";"655.2";"49.79";"92.79";"5.66";"747.99";"55.45";"114.29";"3.39";"95.05";"6.79";"3.39";"2.26";"50.92"
"Jesús Joaquín Fernández Sáez de la Torre";"Suso";"10168";"1993-11-19";"Sevilla FC";"266";"Sevilla FC v Real Madrid CF";"2017683";"2025-05-18";"ESP - LaLiga";"4";"2024/2025";"95";"900";"CF";"Center Forward";"83.38";"True";"8825.0";"105.84";"1150.0";"348.0";"30.0";"109.0";"7.0";"457.0";"37.0";"29.1";"83.0";"5.0";"66.0";"9.0";"5.0";"0.87";"0.92";"3.0";"1.79";"null";"20.0";"2.35";"3.3";"9525.28";"105.84";"1241.26";"375.61";"32.38";"117.65";"7.56";"493.26";"39.94";"89.59";"5.4";"71.24";"9.71";"5.4";"3.24";"21.59"
"Djibril Sow";"D. Sow";"12411";"1997-02-06";"Sevilla FC";"266";"Atlético Madrid v Sevilla FC";"1902526";"2024-12-08";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LM";"Midfield";"103.15";"True";"13412.0";"130.02";"2339.0";"494.0";"41.0";"102.0";"5.0";"596.0";"46.0";"26.1";"130.0";"2.0";"113.0";"10.0";"1.0";"1.01";"1.01";"0.0";"null";"null";"43.0";"2.32";"3.03";"11702.18";"130.02";"2040.81";"431.02";"35.77";"89.0";"4.36";"520.02";"40.14";"113.43";"1.75";"98.59";"8.73";"0.87";"0.0";"37.52"
