toucher,passer,receiver,shooter,goalie,assister,blocker,shooterId,assisterId,blockerId,receiverId,passerId,toucherId,goalieId,gameId,espnEventId,optaMatchId,eventGuid,gameEventIndex,sequenceId,phaseId,sequenceEventNum,possessionSeqNum,possessionNumInPeriod,playType,Period,gameClock,sequenceSeconds,possessionSeconds,eventTeamAbbrevName,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,optaTeamId,Date,homeTeam,awayTeam,homeCurrentScore,awayCurrentScore,teamAbbrevName,Team,teamId,teamImageId,opponent,opponentId,opponentTeamImageId,opponentCurrentScore,teamCurrentScore,homeFinalScore,awayFinalScore,teamFinalScore,opponentFinalScore,numberOfPeriods,periodLength,gameDate,Result,scoreAtTime,xG,xA,ShotDist,reportId,PsDist,PsDirection,PsCompleted,Chance,xGOT,ShotPlayStyle,BodyPart,Pressure,PlyrsBtwn
Peque Fernández,Peque Fernández,Ø. Nyland,,,,,,,,cfc7fqq748bz3nklfam2a2fp,42laa1qwbzlcruyrmlg5o1fu2,42laa1qwbzlcruyrmlg5o1fu2,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:5,5,1,0,1,1,1,Pass,1,0,4,4,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2024-10-20,Barcelona,Sevilla,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,0,0,5,1,1,5,2,45,2024-10-20 19:00:00,L 1-5,0-0,0.00,0.0000,0.0,null-223,33.5,Backward,Yes,No,0.00,,Other,None,
Ø. Nyland,Ø. Nyland,,,,,,,,,,cfc7fqq748bz3nklfam2a2fp,cfc7fqq748bz3nklfam2a2fp,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:6,6,1,1,2,1,1,Pass,1,4,4,4,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2024-10-20,Barcelona,Sevilla,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,0,0,5,1,1,5,2,45,2024-10-20 19:00:00,L 1-5,0-0,0.00,0.0000,0.0,null-223,59.7,Forward,No,No,0.00,,Other,None,
Alejandro Balde,Alejandro Balde,Iñigo Martínez,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,bzgh5psb1janz9y3btpswngbu,bzgh5psb1janz9y3btpswngbu,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:11,11,2,2,1,2,2,Pass,1,15,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,21.0,Backward,Yes,No,0.00,,Other,None,
Iñigo Martínez,Iñigo Martínez,Iñaki Peña,,,,,,,,4mxx1oxkiexm0ha34utcmb17t,cd5napttmwk5o9gxw3cbb4ted,cd5napttmwk5o9gxw3cbb4ted,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:12,12,2,3,2,2,2,Pass,1,19,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,18.9,Square,Yes,No,0.00,,Other,None,
Iñaki Peña,Iñaki Peña,Iñigo Martínez,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,4mxx1oxkiexm0ha34utcmb17t,4mxx1oxkiexm0ha34utcmb17t,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:13,13,2,3,3,2,2,Pass,1,23,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,20.1,Square,Yes,No,0.00,,Other,None,
Iñigo Martínez,Iñigo Martínez,Iñaki Peña,,,,,,,,4mxx1oxkiexm0ha34utcmb17t,cd5napttmwk5o9gxw3cbb4ted,cd5napttmwk5o9gxw3cbb4ted,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:14,14,2,3,4,2,2,Pass,1,27,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,17.5,Square,Yes,No,0.00,,Other,None,
Iñaki Peña,Iñaki Peña,Pau Cubarsí,,,,,,,,bkwxem45cf48k14euwqe7rs44,4mxx1oxkiexm0ha34utcmb17t,4mxx1oxkiexm0ha34utcmb17t,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:15,15,2,3,5,2,2,Pass,1,30,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,21.0,Square,Yes,No,0.00,,Other,None,
Pau Cubarsí,Pau Cubarsí,Iñigo Martínez,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,bkwxem45cf48k14euwqe7rs44,bkwxem45cf48k14euwqe7rs44,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:16,16,2,3,6,2,2,Pass,1,34,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,30.9,Square,Yes,No,0.00,,Other,None,
Iñigo Martínez,Iñigo Martínez,Pedri,,,,,,,,4ftlhtels58lyzfluwofzwxuy,cd5napttmwk5o9gxw3cbb4ted,cd5napttmwk5o9gxw3cbb4ted,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:17,17,2,3,7,2,2,Pass,1,40,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,11.7,Square,Yes,No,0.00,,Other,None,
Pedri,Pedri,Pau Cubarsí,,,,,,,,bkwxem45cf48k14euwqe7rs44,4ftlhtels58lyzfluwofzwxuy,4ftlhtels58lyzfluwofzwxuy,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:18,18,2,3,8,2,2,Pass,1,44,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,20.1,Square,Yes,No,0.00,,Other,None,
