toucher,passer,receiver,shooter,goalie,assister,blocker,shooterId,assisterId,blockerId,receiverId,passerId,toucherId,goalieId,gameId,espnEventId,optaMatchId,eventGuid,gameEventIndex,sequenceId,phaseId,sequenceEventNum,possessionSeqNum,possessionNumInPeriod,playType,Period,gameClock,sequenceSeconds,possessionSeconds,eventTeamAbbrevName,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,optaTeamId,Date,homeTeam,awayTeam,homeCurrentScore,awayCurrentScore,teamAbbrevName,Team,teamId,teamImageId,opponent,opponentId,opponentTeamImageId,opponentCurrentScore,teamCurrentScore,homeFinalScore,awayFinalScore,teamFinalScore,opponentFinalScore,numberOfPeriods,periodLength,gameDate,Result,scoreAtTime,xG,xA,ShotDist,reportId,PsDist,PsDirection,PsCompleted,Chance,xGOT,ShotPlayStyle,BodyPart,Pressure,PlyrsBtwn
K. Mbappé,K. Mbappé,F. Valverde,,,,,,,,1i9wi65k2foqwudeqiyih87hl,5e9ilgrz3tzg9kd1gk3yvrahh,5e9ilgrz3tzg9kd1gk3yvrahh,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:5,5,1,0,1,1,1,Pass,1,0,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,14.4,Backward,Yes,No,0.00,,Other,None,
F. Valverde,F. Valverde,Dani Ceballos,,,,,,,,i48mf81fxn2af1xxjzfi8gr9,1i9wi65k2foqwudeqiyih87hl,1i9wi65k2foqwudeqiyih87hl,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:6,6,1,1,2,1,1,Pass,1,1,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,18.1,Square,Yes,No,0.00,,Other,None,
Dani Ceballos,Dani Ceballos,Brahim Díaz,,,,,,,,3jln1gzc0859ymphvq83i0mp5,i48mf81fxn2af1xxjzfi8gr9,i48mf81fxn2af1xxjzfi8gr9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:7,7,1,1,3,1,1,Pass,1,4,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,15.1,Square,Yes,No,0.00,,Other,None,
Brahim Díaz,Brahim Díaz,A. Tchouaméni,,,,,,,,aipyotc87m5bdvmvizd5n69k9,3jln1gzc0859ymphvq83i0mp5,3jln1gzc0859ymphvq83i0mp5,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:8,8,1,1,4,1,1,Pass,1,6,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,25.5,Square,Yes,No,0.00,,Other,None,
A. Tchouaméni,A. Tchouaméni,A. Rüdiger,,,,,,,,6fzbp94hf19ysotdassrqdc5x,aipyotc87m5bdvmvizd5n69k9,aipyotc87m5bdvmvizd5n69k9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:9,9,1,2,5,1,1,Pass,1,12,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,15.2,Square,Yes,No,0.00,,Other,None,
A. Rüdiger,A. Rüdiger,E. Camavinga,,,,,,,,en2c7z1raqmcwee78297pbnu2,6fzbp94hf19ysotdassrqdc5x,6fzbp94hf19ysotdassrqdc5x,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:10,10,1,3,6,1,1,Pass,1,15,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,10.3,Square,Yes,No,0.00,,Other,None,
E. Camavinga,E. Camavinga,T. Courtois,,,,,,,,6crmq7vzqts58wg196q48sc7p,en2c7z1raqmcwee78297pbnu2,en2c7z1raqmcwee78297pbnu2,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:11,11,1,3,7,1,1,Pass,1,17,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,29.1,Square,Yes,No,0.00,,Other,None,
T. Courtois,T. Courtois,A. Tchouaméni,,,,,,,,aipyotc87m5bdvmvizd5n69k9,6crmq7vzqts58wg196q48sc7p,6crmq7vzqts58wg196q48sc7p,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:12,12,1,4,8,1,1,Pass,1,20,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,13.1,Square,Yes,No,0.00,,Other,None,
A. Tchouaméni,A. Tchouaméni,A. Rüdiger,,,,,,,,6fzbp94hf19ysotdassrqdc5x,aipyotc87m5bdvmvizd5n69k9,aipyotc87m5bdvmvizd5n69k9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:13,13,1,4,9,1,1,Pass,1,24,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,15.6,Square,Yes,No,0.00,,Other,None,
A. Rüdiger,A. Rüdiger,A. Tchouaméni,,,,,,,,aipyotc87m5bdvmvizd5n69k9,6fzbp94hf19ysotdassrqdc5x,6fzbp94hf19ysotdassrqdc5x,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:14,14,1,4,10,1,1,Pass,1,26,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,19.1,Square,Yes,No,0.00,,Other,None,
A. Tchouaméni,A. Tchouaméni,Dani Ceballos,,,,,,,,i48mf81fxn2af1xxjzfi8gr9,aipyotc87m5bdvmvizd5n69k9,aipyotc87m5bdvmvizd5n69k9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:15,15,1,4,11,1,1,Pass,1,30,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,17.3,Square,Yes,No,0.00,,Other,None,
Dani Ceballos,Dani Ceballos,Lucas Vázquez,,,,,,,,bf2pf3hs8gcvub4ivlve12ymt,i48mf81fxn2af1xxjzfi8gr9,i48mf81fxn2af1xxjzfi8gr9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:16,16,1,5,12,1,1,Pass,1,35,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,9.0,Square,Yes,No,0.00,,Other,None,
Lucas Vázquez,Lucas Vázquez,A. Tchouaméni,,,,,,,,aipyotc87m5bdvmvizd5n69k9,bf2pf3hs8gcvub4ivlve12ymt,bf2pf3hs8gcvub4ivlve12ymt,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:17,17,1,5,13,1,1,Pass,1,36,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,21.7,Square,Yes,No,0.00,,Other,None,
A. Tchouaméni,A. Tchouaméni,Dani Ceballos,,,,,,,,i48mf81fxn2af1xxjzfi8gr9,aipyotc87m5bdvmvizd5n69k9,aipyotc87m5bdvmvizd5n69k9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:18,18,1,5,14,1,1,Pass,1,42,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,6.1,Square,Yes,No,0.00,,Other,None,
Dani Ceballos,Dani Ceballos,J. Bellingham,,,,,,,,e83ula4wockmc2xid7185kcq2,i48mf81fxn2af1xxjzfi8gr9,i48mf81fxn2af1xxjzfi8gr9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:19,19,1,5,15,1,1,Pass,1,44,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,6.9,Forward,Yes,No,0.00,,Other,None,
J. Bellingham,J. Bellingham,Lucas Vázquez,,,,,,,,bf2pf3hs8gcvub4ivlve12ymt,e83ula4wockmc2xid7185kcq2,e83ula4wockmc2xid7185kcq2,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:20,20,1,5,16,1,1,Pass,1,45,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,17.1,Square,Yes,No,0.00,,Other,None,
Lucas Vázquez,Lucas Vázquez,A. Tchouaméni,,,,,,,,aipyotc87m5bdvmvizd5n69k9,bf2pf3hs8gcvub4ivlve12ymt,bf2pf3hs8gcvub4ivlve12ymt,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:21,21,1,5,17,1,1,Pass,1,48,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,23.6,Square,Yes,No,0.00,,Other,None,
A. Tchouaméni,A. Tchouaméni,A. Rüdiger,,,,,,,,6fzbp94hf19ysotdassrqdc5x,aipyotc87m5bdvmvizd5n69k9,aipyotc87m5bdvmvizd5n69k9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:22,22,1,5,18,1,1,Pass,1,52,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,14.5,Square,Yes,No,0.00,,Other,None,
A. Rüdiger,A. Rüdiger,A. Tchouaméni,,,,,,,,aipyotc87m5bdvmvizd5n69k9,6fzbp94hf19ysotdassrqdc5x,6fzbp94hf19ysotdassrqdc5x,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:23,23,1,5,19,1,1,Pass,1,55,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,16.0,Square,Yes,No,0.00,,Other,None,
A. Tchouaméni,A. Tchouaméni,T. Courtois,,,,,,,,6crmq7vzqts58wg196q48sc7p,aipyotc87m5bdvmvizd5n69k9,aipyotc87m5bdvmvizd5n69k9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:24,24,1,6,20,1,1,Pass,1,56,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,19.1,Backward,Yes,No,0.00,,Other,None,
T. Courtois,T. Courtois,F. Valverde,,,,,,,,1i9wi65k2foqwudeqiyih87hl,6crmq7vzqts58wg196q48sc7p,6crmq7vzqts58wg196q48sc7p,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:25,25,1,6,21,1,1,Pass,1,61,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,12.6,Forward,Yes,No,0.00,,Other,None,
F. Valverde,F. Valverde,A. Tchouaméni,,,,,,,,aipyotc87m5bdvmvizd5n69k9,1i9wi65k2foqwudeqiyih87hl,1i9wi65k2foqwudeqiyih87hl,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:26,26,1,6,22,1,1,Pass,1,61,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,18.0,Square,Yes,No,0.00,,Other,None,
A. Tchouaméni,A. Tchouaméni,Dani Ceballos,,,,,,,,i48mf81fxn2af1xxjzfi8gr9,aipyotc87m5bdvmvizd5n69k9,aipyotc87m5bdvmvizd5n69k9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:27,27,1,6,23,1,1,Pass,1,65,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,7.4,Forward,Yes,No,0.00,,Other,None,
Dani Ceballos,Dani Ceballos,Lucas Vázquez,,,,,,,,bf2pf3hs8gcvub4ivlve12ymt,i48mf81fxn2af1xxjzfi8gr9,i48mf81fxn2af1xxjzfi8gr9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:28,28,1,6,24,1,1,Pass,1,67,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,15.8,Square,Yes,No,0.00,,Other,None,
