toucher,passer,receiver,shooter,goalie,assister,blocker,shooterId,assisterId,blockerId,receiverId,passerId,toucherId,goalieId,gameId,espnEventId,optaMatchId,eventGuid,gameEventIndex,sequenceId,phaseId,sequenceEventNum,possessionSeqNum,possessionNumInPeriod,playType,Period,gameClock,sequenceSeconds,possessionSeconds,eventTeamAbbrevName,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,optaTeamId,Date,homeTeam,awayTeam,homeCurrentScore,awayCurrentScore,teamAbbrevName,Team,teamId,teamImageId,opponent,opponentId,opponentTeamImageId,opponentCurrentScore,teamCurrentScore,homeFinalScore,awayFinalScore,teamFinalScore,opponentFinalScore,numberOfPeriods,periodLength,gameDate,Result,scoreAtTime,xG,xA,ShotDist,reportId,PsDist,PsDirection,PsCompleted,Chance,xGOT,ShotPlayStyle,BodyPart,Pressure,PlyrsBtwn
A. Adams,A. Adams,Ø. Nyland,,,,,,,,cfc7fqq748bz3nklfam2a2fp,6mf11pv0pfvyl9vom1i1pi0yy,6mf11pv0pfvyl9vom1i1pi0yy,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:5,5,1,0,1,1,1,Pass,1,0,4,10,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0000,0.0,null-223,43.7,Backward,Yes,No,0.00,,Other,None,
Ø. Nyland,Ø. Nyland,,,,,,,,,,cfc7fqq748bz3nklfam2a2fp,cfc7fqq748bz3nklfam2a2fp,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:6,6,1,1,2,1,1,Pass,1,4,4,10,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0000,0.0,null-223,67.6,Forward,No,No,0.00,,Other,None,
C. Lenglet,C. Lenglet,,,,,,,,,,3gsprcdyogabeb8lr2y0bmytx,3gsprcdyogabeb8lr2y0bmytx,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:9,9,,1,,,,Pass,1,7,,,ATM,,,Atlético de Madrid,Atlético de Madrid,ATM,Atlético,#FF3300,175,2025-04-06,Sevilla,Atlético de Madrid,0,0,ATM,ATM,4ku8o6uf87yd8iecdalipo6wd,175,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,1,2,2,1,2,45,2025-04-06 14:15:00,W 2-1,0-0,0.00,0.0000,0.0,null-223,22.0,Forward,No,No,0.00,,Other,None,
José Ángel Carmona,José Ángel Carmona,,,,,,,,,,6jq376l673aizjxxhhos2j52i,6jq376l673aizjxxhhos2j52i,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:11,11,2,1,1,1,1,Pass,1,10,0,10,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0000,0.0,null-223,20.3,Forward,No,No,0.00,,Other,None,
César Azpilicueta,César Azpilicueta,Robin Le Normand,,,,,,,,6xulax65kp4aid70nk7g5jr2t,bvw1jgmhfyc896gfi6uj0skwl,bvw1jgmhfyc896gfi6uj0skwl,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:15,15,3,3,2,2,2,Pass,1,13,18,45,ATM,,,Atlético de Madrid,Atlético de Madrid,ATM,Atlético,#FF3300,175,2025-04-06,Sevilla,Atlético de Madrid,0,0,ATM,ATM,4ku8o6uf87yd8iecdalipo6wd,175,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,1,2,2,1,2,45,2025-04-06 14:15:00,W 2-1,0-0,0.00,0.0000,0.0,null-223,16.2,Square,Yes,No,0.00,,Other,None,
Robin Le Normand,Robin Le Normand,N. Molina,,,,,,,,ieu0x9fy8hpqyztdjg8bgpnt,6xulax65kp4aid70nk7g5jr2t,6xulax65kp4aid70nk7g5jr2t,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:16,16,3,3,3,2,2,Pass,1,16,18,45,ATM,,,Atlético de Madrid,Atlético de Madrid,ATM,Atlético,#FF3300,175,2025-04-06,Sevilla,Atlético de Madrid,0,0,ATM,ATM,4ku8o6uf87yd8iecdalipo6wd,175,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,1,2,2,1,2,45,2025-04-06 14:15:00,W 2-1,0-0,0.00,0.0000,0.0,null-223,19.4,Square,Yes,No,0.00,,Other,None,
N. Molina,N. Molina,C. Lenglet,,,,,,,,3gsprcdyogabeb8lr2y0bmytx,ieu0x9fy8hpqyztdjg8bgpnt,ieu0x9fy8hpqyztdjg8bgpnt,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:17,17,3,3,4,2,2,Pass,1,21,18,45,ATM,,,Atlético de Madrid,Atlético de Madrid,ATM,Atlético,#FF3300,175,2025-04-06,Sevilla,Atlético de Madrid,0,0,ATM,ATM,4ku8o6uf87yd8iecdalipo6wd,175,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,1,2,2,1,2,45,2025-04-06 14:15:00,W 2-1,0-0,0.00,0.0000,0.0,null-223,18.7,Square,Yes,No,0.00,,Other,None,
C. Lenglet,C. Lenglet,,,,,,,,,,3gsprcdyogabeb8lr2y0bmytx,3gsprcdyogabeb8lr2y0bmytx,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:18,18,3,4,5,2,2,Pass,1,29,18,45,ATM,,,Atlético de Madrid,Atlético de Madrid,ATM,Atlético,#FF3300,175,2025-04-06,Sevilla,Atlético de Madrid,0,0,ATM,ATM,4ku8o6uf87yd8iecdalipo6wd,175,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,1,2,2,1,2,45,2025-04-06 14:15:00,W 2-1,0-0,0.00,0.0000,0.0,null-223,45.1,Forward,No,No,0.00,,Other,None,
Kike Salas,,,,,,,,,,,,9nwkxgbl8t933pzu60ye4xxxw,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:19,19,,4,,,,Interception,1,31,,,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0000,0.0,null-223,0.0,Square,Yes,No,0.00,,Head,None,
Adrià Pedrosa,,,,,,,,,,,,8rprxly1blrhq9cwhfqoheeax,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:20,20,,4,,,,Clearance,1,33,,,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0000,0.0,null-223,0.0,Forward,Yes,No,0.00,,Head,None,
L. Badé,,,,,,,,,,,,rlgrvvibryod2g92hqc97ii2,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:21,21,,4,,,,Clearance,1,35,,,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0000,0.0,null-223,0.0,Square,Yes,No,0.00,,Other,None,
R. Vargas,,,,,,,,,,,,4zrut521fzw9fddqt74pnl756,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:22,22,,4,,,,BallTouch,1,40,,,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0000,0.0,null-223,0.0,Square,No,No,0.00,,Other,None,
N. Molina,N. Molina,Robin Le Normand,,,,,,,,6xulax65kp4aid70nk7g5jr2t,ieu0x9fy8hpqyztdjg8bgpnt,ieu0x9fy8hpqyztdjg8bgpnt,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:26,26,4,5,1,2,2,Pass,1,49,7,45,ATM,,,Atlético de Madrid,Atlético de Madrid,ATM,Atlético,#FF3300,175,2025-04-06,Sevilla,Atlético de Madrid,0,0,ATM,ATM,4ku8o6uf87yd8iecdalipo6wd,175,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,1,2,2,1,2,45,2025-04-06 14:15:00,W 2-1,0-0,0.00,0.0000,0.0,null-223,27.8,Backward,Yes,No,0.00,,Other,None,
