toucher,passer,receiver,shooter,goalie,assister,blocker,shooterId,assisterId,blockerId,receiverId,passerId,toucherId,goalieId,gameId,espnEventId,optaMatchId,eventGuid,gameEventIndex,sequenceId,phaseId,sequenceEventNum,possessionSeqNum,possessionNumInPeriod,playType,Period,gameClock,sequenceSeconds,possessionSeconds,eventTeamAbbrevName,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,optaTeamId,Date,homeTeam,awayTeam,homeCurrentScore,awayCurrentScore,teamAbbrevName,Team,teamId,teamImageId,opponent,opponentId,opponentTeamImageId,opponentCurrentScore,teamCurrentScore,homeFinalScore,awayFinalScore,teamFinalScore,opponentFinalScore,numberOfPeriods,periodLength,gameDate,Result,scoreAtTime,xG,xA,ShotDist,reportId,PsDist,PsDirection,PsCompleted,Chance,xGOT,ShotPlayStyle,BodyPart,Pressure,PlyrsBtwn
Endrick,Endrick,A. Tchouaméni,,,,,,,,aipyotc87m5bdvmvizd5n69k9,14qv8npo5alwnb5dud8x82ln8,14qv8npo5alwnb5dud8x82ln8,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:5,5,1,0,1,1,1,Pass,1,0,32,32,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2025-05-18,Sevilla,Real Madrid,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,0,2,2,0,2,45,2025-05-18 17:00:00,W 2-0,0-0,0.00,0.0000,0.0,null-223,17.9,Backward,Yes,No,0.00,,Other,None,
A. Tchouaméni,A. Tchouaméni,L. Modric,,,,,,,,diod1hv5hv7v7z7mfleev1txx,aipyotc87m5bdvmvizd5n69k9,aipyotc87m5bdvmvizd5n69k9,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:6,6,1,1,2,1,1,Pass,1,1,32,32,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2025-05-18,Sevilla,Real Madrid,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,0,2,2,0,2,45,2025-05-18 17:00:00,W 2-0,0-0,0.00,0.0000,0.0,null-223,13.2,Square,Yes,No,0.00,,Other,None,
L. Modric,L. Modric,Fran García,,,,,,,,39c5g6782qlrtw55fsre7exnt,diod1hv5hv7v7z7mfleev1txx,diod1hv5hv7v7z7mfleev1txx,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:7,7,1,1,3,1,1,Pass,1,2,32,32,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2025-05-18,Sevilla,Real Madrid,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,0,2,2,0,2,45,2025-05-18 17:00:00,W 2-0,0-0,0.00,0.0000,0.0,null-223,22.1,Square,Yes,No,0.00,,Other,None,
Fran García,Fran García,Jesús Vallejo,,,,,,,,eihwzqtt27l2l8iu990h68edx,39c5g6782qlrtw55fsre7exnt,39c5g6782qlrtw55fsre7exnt,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:8,8,1,1,4,1,1,Pass,1,6,32,32,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2025-05-18,Sevilla,Real Madrid,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,0,2,2,0,2,45,2025-05-18 17:00:00,W 2-0,0-0,0.00,0.0000,0.0,null-223,17.5,Backward,Yes,No,0.00,,Other,None,
Jesús Vallejo,Jesús Vallejo,Jacobo Ramón,,,,,,,,2b1aq7e51fjbukd3muxfthd78,eihwzqtt27l2l8iu990h68edx,eihwzqtt27l2l8iu990h68edx,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:9,9,1,2,5,1,1,Pass,1,9,32,32,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2025-05-18,Sevilla,Real Madrid,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,0,2,2,0,2,45,2025-05-18 17:00:00,W 2-0,0-0,0.00,0.0000,0.0,null-223,21.1,Square,Yes,No,0.00,,Other,None,
Jacobo Ramón,Jacobo Ramón,A. Güler,,,,,,,,39gif4xfy8xddarasbsad56ok,2b1aq7e51fjbukd3muxfthd78,2b1aq7e51fjbukd3muxfthd78,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:10,10,1,2,6,1,1,Pass,1,11,32,32,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2025-05-18,Sevilla,Real Madrid,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,0,2,2,0,2,45,2025-05-18 17:00:00,W 2-0,0-0,0.00,0.0000,0.0,null-223,15.2,Square,Yes,No,0.00,,Other,None,
A. Güler,A. Güler,F. Valverde,,,,,,,,1i9wi65k2foqwudeqiyih87hl,39gif4xfy8xddarasbsad56ok,39gif4xfy8xddarasbsad56ok,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:11,11,1,2,7,1,1,Pass,1,14,32,32,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2025-05-18,Sevilla,Real Madrid,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,0,2,2,0,2,45,2025-05-18 17:00:00,W 2-0,0-0,0.00,0.0000,0.0,null-223,7.6,Forward,Yes,No,0.00,,Other,None,
F. Valverde,F. Valverde,A. Güler,,,,,,,,39gif4xfy8xddarasbsad56ok,1i9wi65k2foqwudeqiyih87hl,1i9wi65k2foqwudeqiyih87hl,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:12,12,1,2,8,1,1,Pass,1,15,32,32,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2025-05-18,Sevilla,Real Madrid,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,0,2,2,0,2,45,2025-05-18 17:00:00,W 2-0,0-0,0.00,0.0000,0.0,null-223,8.5,Backward,Yes,No,0.00,,Other,None,
A. Güler,A. Güler,Jacobo Ramón,,,,,,,,2b1aq7e51fjbukd3muxfthd78,39gif4xfy8xddarasbsad56ok,39gif4xfy8xddarasbsad56ok,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:13,13,1,2,9,1,1,Pass,1,18,32,32,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2025-05-18,Sevilla,Real Madrid,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,0,2,2,0,2,45,2025-05-18 17:00:00,W 2-0,0-0,0.00,0.0000,0.0,null-223,16.7,Square,Yes,No,0.00,,Other,None,
Jacobo Ramón,Jacobo Ramón,A. Lunin,,,,,,,,38bp85766w04a0nuulq5fiig9,2b1aq7e51fjbukd3muxfthd78,2b1aq7e51fjbukd3muxfthd78,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:14,14,1,2,10,1,1,Pass,1,20,32,32,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2025-05-18,Sevilla,Real Madrid,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,0,2,2,0,2,45,2025-05-18 17:00:00,W 2-0,0-0,0.00,0.0000,0.0,null-223,18.6,Backward,Yes,No,0.00,,Other,None,
