player_name,instagram_followers_k,market_value_m,age,contract_years,injuries_2y,days_missed,recurring_injury
A. Adams,297,5,24,4,4,159,true
A. Sambi Lokonga,277,8,25,4,6,210,true
Adrià Pedrosa,47.1,7,25,3,2,44,false
C. Ejuke,88.7,4,26,3,1,81,false
D. Lukébakio,185,20,27,3,1,83,false
D. Sow,66.3,7.5,27,3,6,140,true
García Pascual,10.8,1,20,4,0,0,false
Isaac Romero,61.5,6,24,4,2,40,false
José Ángel Carmona,37.7,12,21,5,2,71,false
Juanlu Sánchez,48,12,21,5,1,12,false
Kike Salas,30.8,8,22,5,3,48,false
L. Agoumé,60.4,8,22,4,1,36,false
L. Badé,192,25,24,4,4,74,true
Marcão,396,2,27,2,4,180,true
N. Gudelj,3100,3,32,1,3,96,true
Peque Fernández,47.2,3.5,20,4,0,0,false
R. Vargas,126,7,26,2,4,183,true
S. Idumbo,19.6,2.5,20,4,3,78,false
Saúl Ñíguez,2900,3,30,1,1,57,false
Suso,786,1.5,31,1,3,91,false
